archivo	dimensiones	tamano
boceto_original_pagina_01.png	2339x1653	1536.1 KB
boceto_original_pagina_02.png	2339x1653	2326.1 KB
boceto_original_pagina_03.png	2339x1653	2485.1 KB
boceto_original_pagina_04.png	1653x2339	3867.7 KB
boceto_original_pagina_05.png	2339x1653	3347.2 KB
extra_aon_projects_3_original.jpg	3086x2182	336.9 KB
mem_equipo_adria_hernandez.png	1179x1745	1635.9 KB
mem_equipo_diego_ruiz.png	835x869	613.6 KB
mem_equipo_jose_alcalde.png	136x132	19.0 KB
mem_equipo_richard_sosa.png	137x137	28.7 KB
mem_fig01_logo_alfa12_original.png	1536x1024	165.3 KB
mem_fig01_logo_alfa12_recortado_transparente.png	1130x400	155.5 KB
mem_fig02_modelo_de_negocio.png	1448x1086	2117.2 KB
mem_fig03_organizacion_equipo.png	1254x1254	1726.0 KB
mem_fig04_metodologia_agile.png	2048x1143	3028.8 KB
mem_fig05a_modelo_empresarial_esquema.png	1280x1061	731.7 KB
mem_fig05b_modelo_empresarial_render.png	1536x1024	3769.2 KB
mem_fig06a_modelo_personal_esquema.png	1221x973	581.0 KB
mem_fig06b_modelo_personal_render.png	1448x1086	3631.9 KB
mem_fig07_familia_de_robots.png	2048x1143	2774.2 KB
mem_fig08_alcance.png	2048x2048	3290.8 KB
mem_fig09_lluvia_de_ideas_postits.png	917x1133	1282.0 KB
mem_fig10_wbs_parte_1.png	2048x880	257.2 KB
mem_fig11_wbs_parte_2.png	2048x946	324.1 KB
mem_fig12_wbs_parte_3.png	1792x1075	115.4 KB
mem_fig13_grafo_aon.png	1363x323	59.5 KB
mem_fig14_diagrama_gantt.png	2048x1365	163.5 KB
mem_fig15a_presupuesto_por_fases.png	1796x1061	61.5 KB
mem_fig15b_presupuesto_por_tipo_recurso.png	882x691	23.0 KB
mem_fig16_curva_s.png	2048x999	125.2 KB
mem_fig17_flujo_de_costes.png	2048x2048	258.5 KB
mem_fig18_secuencia_control_calidad.png	1786x616	1265.3 KB
mem_fig19_ciclo_mejora_continua_calidad.png	1582x860	1777.0 KB
mem_fig20_stakeholders.png	2048x2048	4290.4 KB
mem_fig21_sintesis_integracion_pmp.png	1448x1086	1032.0 KB
mem_fig22_cumplimiento_areas_pmp.png	1448x1086	1013.6 KB
mem_fig23_madurez_areas_gestion.png	1254x1254	1055.9 KB
mem_fig24_hoja_ruta_futura.png	1122x1402	1167.5 KB
mem_portada_upc_eseiaat_header.png	693x140	16.8 KB
web_caso_robofleet_control.png	1448x1086	1970.9 KB
web_caso_smartroute_logistics.png	1448x1086	2192.0 KB
web_caso_urbantrack_assist.png	1448x1086	2130.7 KB
web_hero_familia_robots_alfa12.png	1672x941	2003.8 KB
web_interaccion_usuario_bandeja_elevable.png	1448x1086	1857.7 KB
web_modelo_empresarial_logistico.png	1448x1086	1836.0 KB
web_modelo_personal_asistencial.png	1448x1086	1957.7 KB
web_tecnologia_bandeja_elevable_abierta.png	1672x941	1740.3 KB